2	1	57	80	1	5	5	3	2	3	4	3	3	3	4	4	3	4	3	4	3	4	4	1	4	2	4	4	4	4	4	4	3	4	4
3	0	54	85	1	4	4	4	4	4	4	4	2	2	3	5	4	5	4	4	4	3	4	0	.	.	.	.	.	.	.	.	.	1	1
4	1	49	110	0	3	2	3	3	3	2	3	3	4	2	2	3	3	3	3	3	3	3	1	3	3	3	4	4	3	3	3	3	3	3
5	1	62	160	1	4	4	3	4	4	3	3	3	3	4	4	3	3	3	3	3	3	3	0	.	.	.	.	.	.	.	.	.	1	1
6	0	49	80	1	5	5	4	4	4	3	3	4	3	4	4	3	3	4	4	3	3	3	1	3	3	3	3	3	.	.	.	.	3	.
7	0	47	80	0	3	4	3	3	3	3	3	3	3	4	4	4	3	4	2	3	3	3	0	.	.	.	.	.	.	.	.	.	1	1
8	1	73	40	1	5	5	4	3	3	4	3	3	3	5	5	.	.	.	.	3	3	3	1	4	2	4	4	4	3	4	4	3	4	4
9	0	83	45	1	4	4	5	2	2	4	4	2	4	5	5	4	3	3	3	3	3	4	0	3	3	3	4	4	4	4	4	4	1	1
10	1	29	50	1	4	4	4	4	4	3	4	4	4	3	4	4	3	4	3	4	4	4	1	4	4	4	4	4	4	4	4	4	4	4
13	0	42	60	1	4	4	3	3	3	3	3	2	2	4	4	3	4	4	3	3	3	3	1	4	3	3	4	4	4	4	4	3	4	4
14	1	44	50	0	4	4	4	4	4	4	3	4	2	4	4	4	4	4	4	3	2	3	1	4	4	4	4	4	4	4	4	4	4	4
15	1	81	65	0	.	.	4	3	3	4	4	3	4	4	4	4	3	3	3	3	4	4	0	.	.	.	.	.	.	.	.	.	1	1
16	1	61	250	0	4	4	4	4	3	3	3	3	3	5	5	4	3	3	3	4	3	3	0	.	.	.	.	.	.	.	.	.	1	1
17	0	62	100	1	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	4	3	4	4	4	3	4	4	3	4	4
18	0	50	130	0	5	5	4	4	4	4	3	3	4	5	5	4	3	4	4	3	3	4	0	.	.	.	.	.	.	.	.	.	1	1
19	0	74	.	1	4	4	4	4	4	4	3	4	4	5	5	4	4	4	4	4	4	4	1	4	3	4	4	4	4	4	4	4	4	4
20	0	46	50	1	5	5	2	2	2	3	3	3	2	5	5	3	4	3	3	4	4	4	0	4	1	4	4	4	3	3	3	3	1	1
21	0	47	130	1	4	5	3	2	3	4	3	3	4	3	4	3	4	4	4	3	4	4	0	.	.	.	.	.	.	.	.	.	1	1
23	0	67	.	1	4	4	3	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	0	.	.	.	.	.	.	.	.	.	1	1
24	1	67	35	0	4	4	4	4	4	2	3	4	4	3	4	4	4	3	4	3	3	4	0	.	.	.	.	.	.	.	.	.	1	1
25	1	43	140	1	.	.	3	3	4	2	3	3	3	5	5	4	4	4	4	5	5	5	0	.	.	.	.	.	.	.	.	.	1	1
26	0	57	65	0	4	4	2	3	2	2	3	3	3	3	3	2	3	3	3	3	3	3	1	4	3	3	4	4	4	4	4	4	4	4
28	0	20	25	1	5	4	5	5	5	5	3	3	3	5	5	4	4	4	4	4	4	4	0	.	.	.	.	.	.	.	.	.	1	1
29	0	45	160	1	4	4	4	4	4	4	3	3	3	5	5	4	4	4	4	4	4	4	0	4	3	3	3	3	2	3	4	3	1	1
30	1	72	170	1	4	4	4	4	4	3	3	3	3	4	4	3	3	3	3	3	3	3	0	.	.	.	.	.	.	.	.	.	1	1
32	0	57	100	1	5	5	.	.	.	.	.	.	.	4	5	4	3	3	3	3	3	3	1	3	2	3	2	2	2	2	3	1	3	3
33	1	54	120	0	4	4	3	3	3	3	2	3	3	4	4	2	3	3	3	3	2	3	0	.	.	.	.	.	.	.	.	.	1	1
35	1	52	180	1	5	5	4	2	2	3	3	3	4	4	5	4	3	2	2	4	3	4	0	.	.	.	.	.	.	.	.	.	1	1
38	0	36	100	1	5	5	5	3	3	5	3	3	3	5	5	4	3	3	4	3	4	4	0	.	.	.	.	.	.	.	.	.	1	1
39	1	63	70	1	4	4	3	4	4	4	3	3	4	4	4	3	4	4	4	3	3	4	1	3	3	3	3	4	4	4	4	4	3	4
40	0	46	70	1	5	5	4	3	4	4	4	4	4	5	5	4	4	4	4	4	4	4	0	4	2	4	4	4	5	5	5	5	1	1
41	1	71	40	0	5	5	4	4	4	4	4	4	3	4	4	4	3	4	3	4	4	4	0	3	4	4	3	3	4	4	3	4	1	1
42	0	38	150	0	5	5	2	3	3	2	2	2	2	4	4	3	3	3	2	3	3	3	0	.	.	.	.	.	.	.	.	.	1	1
43	1	58	225	0	2	3	3	2	2	2	4	3	4	3	4	3	3	2	3	4	4	4	1	4	4	4	4	4	4	4	4	2	4	4
47	1	65	130	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	.	.	.	.	.	.	.	.	.	1	1
48	0	69	.	0	5	4	4	4	4	4	.	.	.	4	4	3	4	3	4	3	3	4	0	.	.	.	.	.	.	.	.	.	1	1
50	0	53	85	1	.	.	4	4	4	4	3	3	4	4	5	4	3	3	4	3	3	4	0	4	4	4	4	4	5	5	5	5	1	1
